"","X","schID","CNT","gender_prop","ICTCLASS","ICTHOME","ICTOUTSIDE","ICTRES","AUTICT","COMPICT","INTICT","ENTUSE","HOMESCH","USESCH","WEALTH","ESCS","HOMEPOS","BFMJ2","BMMJ1","HISCED","HISEI","JOYREAD","CULTPOSS","HEDRES","SCREADCOMP","LMINS","MMINS","ATTLNACT","EMOSUPS","COMPETE","EUDMO","GFOFAIL","SWBP","RESILIENCE","BELONG","BEINGBULLIED","PERFEED","TEACHINT","TEACHSUP","STIMREAD","PERCOMP","PERCOOP","ICTSCH","RATCMP1"
"1",1,20300001,"CZE",1.76470588235294,-0.614070588235294,7.88235294117647,-0.234570588235294,-0.107323529411765,0.100026470588235,-0.0609676470588235,-0.146573529411765,0.2484,0.152285294117647,0.205701470588235,0.0151411764705882,-0.183567647058824,-0.00947058823529411,37.3714705882353,44.8032352941176,4.14705882352941,50.8529411764706,-0.355397058823529,-0.460155882352941,0.371658823529412,-0.368297058823529,132.352941176471,203.823529411765,-0.176,-0.189823529411765,-0.216726470588235,-0.240579411764706,-0.131341176470588,-0.151320588235294,-0.392308823529412,-0.237894117647059,-0.133679411764706,-0.353167647058824,-0.215420588235294,-0.251679411764706,-0.201870588235294,-0.502247058823529,-0.18685,5.44117647058824,0.6
"2",2,20300002,"CZE",1.6,-0.55434,8.04,-0.28906,-0.16358,-0.290656,-0.139436,-0.106652,0.323924,0.32698,0.131638,-0.088804,-0.62932,-0.181912,35.3428,35.5456,3.68,41.2556,-0.269152,-0.45596,-0.244944,-0.263868,226.2,220.8,-0.356724,-0.657536,-0.355364,-0.35348,-0.153364,0.019092,-0.404992,-0.022332,-0.170908,-0.339928,-0.58864,-0.446136,-0.526352,-0.929252,-0.324356,5.04,0.6111
"3",3,20300003,"CZE",1.27586206896552,-0.588268965517241,7.6551724137931,-0.345206896551724,0.119151724137931,-0.310324137931034,-0.422272413793103,-0.4346,-0.34051724137931,-0.0509206896551724,0.0249413793103448,0.157879310344828,0.161427586206897,0.4551,43.15,44.6037931034483,4.79310344827586,51.8486206896552,0.508196551724138,0.266348275862069,0.622210344827586,0.136113793103448,182.241379310345,182.241379310345,-0.068851724137931,-0.0750344827586207,-0.204055172413793,-0.321724137931034,0.157131034482759,0.0418965517241379,-0.352462068965517,-0.232493103448276,-0.542713793103448,-0.145855172413793,-0.0285241379310345,-0.248893103448276,-0.0361724137931034,-0.951906896551724,0.179703448275862,5.48275862068965,0.5047
"4",4,20300004,"CZE",1.66666666666667,-0.0554444444444445,8.11111111111111,0.218111111111111,-0.117966666666667,-0.193322222222222,-0.200633333333333,-0.296411111111111,-0.187233333333333,-0.141994444444444,0.0939305555555556,-0.140883333333333,0.458416666666667,0.162655555555556,53.5161111111111,61.4688888888889,5.44444444444444,65.49,0.4507,0.141861111111111,0.228822222222222,-0.142022222222222,178.888888888889,208.888888888889,-0.162461111111111,-0.150661111111111,0.046,-0.316,0.386838888888889,-0.222633333333333,-0.331833333333333,-0.363688888888889,-0.286488888888889,-0.105472222222222,0.182816666666667,0.127805555555556,-0.02025,-0.321216666666667,-0.201394444444444,5.88888888888889,1.1852
"5",5,20300005,"CZE",1.5,-0.53609375,7.25,-0.342225,-0.37278125,-0.20900625,-0.14054375,-0.11756875,-0.2961,-0.18063125,-0.057884375,-0.54885,-0.8353,-0.6105125,34.590625,36.24125,4.0625,35.91375,-0.13838125,-1.00048125,0.1022125,-0.4954375,211.875,214.6875,-0.338975,-0.32513125,-0.30353125,-0.16316875,-0.0323,-0.2257875,-0.51818125,-0.5436625,0.33008125,-0.446825,-0.0925625,-0.24695,-0.613775,-0.8097375,-0.62341875,5,1.2
"7",7,20300007,"CZE",1.42857142857143,-0.533435714285714,7.35714285714286,-0.175571428571429,-0.19475,-0.0762857142857143,-0.291314285714286,-0.0972785714285714,0.0273571428571429,-0.0686,0.0792642857142857,-0.451064285714286,0.0127857142857143,-0.30775,42.6464285714286,54.2785714285714,4.85714285714286,59.2814285714286,0.147028571428571,-0.635757142857143,0.321714285714286,-0.22895,142.5,177.142857142857,0.155278571428571,0.130978571428571,-0.0650857142857143,-0.184857142857143,-0.0197428571428571,0.204585714285714,-0.249314285714286,-0.276985714285714,-0.416035714285714,-0.720892857142857,0.0580928571428571,0.1529,0.424935714285714,-0.922364285714286,0.409192857142857,6.14285714285714,1
"8",8,20300008,"CZE",1.08823529411765,-0.470038235294118,7.52941176470588,-0.0959941176470588,-0.319782352941176,-0.487247058823529,-0.541258823529412,-0.2782,-0.150017647058824,0.00583529411764707,-0.112513235294118,-0.222888235294118,-0.385173529411765,-0.123064705882353,34.9235294117647,40.1302941176471,4.23529411764706,43.5373529411765,0.156835294117647,-0.194488235294118,0.0257029411764706,0.0186470588235294,154.852941176471,127.058823529412,-0.327138235294118,-0.604211764705882,-0.201041176470588,-0.404079411764706,0.171726470588235,-0.127764705882353,-0.314305882352941,-0.464585294117647,-0.219170588235294,-0.665576470588235,-0.835338235294118,-1.15233529411765,-0.827311764705882,-0.736791176470588,-0.416308823529412,4.70588235294118,0.5366
"9",9,20300009,"CZE",1.8695652173913,-0.340165217391304,7.56521739130435,0.404739130434783,-0.162347826086957,-0.350186956521739,-0.232717391304348,-0.591569565217391,-0.0827304347826087,0.0935391304347826,0.530119565217391,-0.0258739130434783,-0.46124347826087,-0.103039130434783,33.1939130434783,40.0730434782609,3.82608695652174,41.104347826087,-0.652686956521739,-0.478678260869565,0.1126,-0.410669565217391,190.652173913043,194.565217391304,-0.762682608695652,-0.787469565217391,-0.329582608695652,0.208747826086957,-0.332782608695652,-0.0342565217391304,-0.0828391304347826,-0.035304347826087,0.121352173913043,-0.39904347826087,-1.0776347826087,-0.721708695652174,-0.384169565217391,-0.332886956521739,-0.527730434782609,5.65217391304348,0.4074
"10",10,20300010,"CZE",1.4375,-0.6227625,7.5625,-0.44936875,-0.28303125,-0.2454125,-0.1947375,-0.30540625,-0.2206625,-0.0861,0.123740625,-0.1618625,-0.19546875,-0.2626375,39.233125,47.221875,4.3125,52.851875,-0.12265625,-0.5998625,-0.01581875,-0.29375,218.125,229.0625,-0.12006875,-0.507925,-0.25166875,-0.09196875,-0.15410625,-0.186375,0.03153125,-0.455325,-0.42445,0.12261875,0.12906875,0.08965625,0.065475,-0.31303125,-0.15424375,4.5625,1.7857
"11",11,20300011,"CZE",1.22222222222222,-0.714366666666667,8,-0.158566666666667,0.308155555555556,-0.3809,-0.34665,-0.157494444444444,-0.207483333333333,-0.221127777777778,-0.210883333333333,0.441455555555555,0.567944444444444,0.740227777777778,50.5822222222222,52.4083333333333,5.05555555555556,59.3477777777778,0.19985,0.503983333333333,0.331083333333333,0.105144444444444,180,180,-0.39115,-0.132766666666667,-0.2338,-0.247344444444444,-0.0467333333333333,0.0518833333333333,-0.405227777777778,-0.0492388888888889,-0.477972222222222,-0.199805555555556,0.0730888888888889,-0.260294444444444,0.304988888888889,-0.723422222222222,-0.0439444444444445,5.22222222222222,0.6829
"12",12,20300012,"CZE",1.51724137931034,-0.178396551724138,8.89655172413793,-0.8102,0.354168965517241,0.120024137931034,0.0196241379310345,-0.234341379310345,0.00164482758620689,-0.124206896551724,0.111006896551724,0.358034482758621,0.600562068965517,0.552193103448276,53.1393103448276,52.521724137931,5.55172413793103,60.6865517241379,0.415468965517241,0.469875862068965,0.00599310344827587,0.316027586206897,177.241379310345,177.241379310345,-0.464372413793103,-0.561124137931034,0.0748241379310345,-0.464141379310345,0.232172413793103,-0.585865517241379,0.00116896551724136,-0.739868965517241,0.488965517241379,-0.601024137931034,-0.162734482758621,-0.49351724137931,-0.492706896551724,-0.114810344827586,-0.742093103448276,5.79310344827586,1
"13",13,20300013,"CZE",1.5,0.2304,7.9,0.46007,-0.52051,-0.35043,-0.33787,-0.55253,-0.09189,0.11356,0.3483,-0.5389,-0.7129,-0.45879,29.23,44.732,3.6,44,-0.3389,-0.70194,0.07604,-0.62889,142.5,98,-0.58406,-0.52966,-0.68561,-0.60909,0.28928,-0.68333,-0.80987,-0.57971,0.32797,-0.57683,-1.02637,-0.17937,0.2312,0.06844,-0.5894,6.1,0.6316
"14",14,20300014,"CZE",1.40625,-0.467896875,8.25,-0.228784375,0.24015625,-0.0123125,-0.175759375,-0.18929375,-0.11533125,-0.0448625,-0.139815625,0.05275,0.5331,0.43714375,51.12625,52.9134375,5.375,62.57,0.51506875,0.350184375,0.6283375,0.190975,175.78125,181.40625,-0.370109375,-0.20735,0.19895,-0.105378125,0.128325,0.2921375,-0.232565625,0.103290625,-0.062225,-0.42716875,0.496975,-0.06236875,0.317721875,-0.281971875,-0.0402375,5.59375,1.2424
"15",15,20300015,"CZE",2,0.144276923076923,7,0.310584615384615,-0.609761538461538,0.154438461538462,-0.0025,-0.0454076923076923,0.585630769230769,0.391761538461538,0.6522,-0.437869230769231,-0.663484615384615,-0.5797,31.9223076923077,37.4969230769231,4.15384615384615,37.9869230769231,-0.662176923076923,-0.826415384615385,-0.462784615384615,-0.385876923076923,180.384615384615,163.461538461538,-0.321446153846154,-0.432523076923077,-0.212346153846154,0.137530769230769,-0.683953846153846,0.0981076923076923,-0.102715384615385,-0.229176923076923,0.254284615384615,-0.530192307692308,-0.888784615384615,-0.724776923076923,-0.608538461538461,-0.842707692307692,-0.626861538461538,4.38461538461539,0.4698
"17",17,20300017,"CZE",1.55172413793103,-0.237941379310345,8.55172413793103,-0.361875862068965,0.160379310344828,-0.0138172413793103,-0.227755172413793,-0.41241724137931,-0.183544827586207,-0.3375,-0.377020689655172,0.0602068965517241,0.9996,0.541065517241379,68.3803448275862,65.17,5.93103448275862,75.3624137931034,0.727555172413793,0.726372413793103,0.259468965517241,0.434496551724138,178.448275862069,186.206896551724,-0.847010344827586,-0.696975862068965,-0.390558620689655,-0.30181724137931,0.0105551724137931,-0.437479310344828,-0.435562068965517,-0.258113793103448,-0.525993103448276,-0.869255172413793,-0.724934482758621,-0.628855172413793,-0.525241379310345,-0.532344827586207,-0.479451724137931,6,0.7
