"rain.day" "rain.mm" "umbrella" "city"
"1" 120.72 1037.5 1.54 "Milan"
"2" 105.64 1128.36 0.96 "Milan"
"3" 120.42 920.12 1.69 "Milan"
"4" 94.96 916.59 1.24 "Milan"
"5" 96.3 1059.43 2.43 "Milan"
"6" 118.32 895.3 1.7 "Milan"
"7" 108.55 948.85 1.64 "Milan"
"8" 91.92 893.06 1.17 "Milan"
"9" 106.67 944.55 1.81 "Milan"
"10" 115.37 936.91 1.9 "Milan"
"11" 108.64 998.74 1.43 "Milan"
"12" 103.86 1023.62 1.32 "Milan"
"13" 108.17 1056.98 1.15 "Milan"
"14" 99.77 978.48 1.22 "Milan"
"15" 123.62 921.03 1.13 "Milan"
"16" 121.48 958.33 1.12 "Milan"
"17" 128.76 937.52 1.58 "Milan"
"18" 122.78 981.52 1.08 "Milan"
"19" 106.31 980.06 1.41 "Milan"
"20" 108.48 965.3 1.26 "Milan"
"21" 112.87 978.33 1.37 "Milan"
"22" 107.13 1070.8 1.54 "Milan"
"23" 88.8 1082.49 1.65 "Milan"
"24" 92.41 960.26 0.71 "Milan"
"25" 77.63 1044.32 1.27 "Milan"
"26" 159.78 772.41 1.14 "London"
"27" 135.8 647.51 0.74 "London"
"28" 140.74 635.09 -0.03 "London"
"29" 144.34 711.91 1.49 "London"
"30" 147.77 691.65 1.42 "London"
"31" 134 562.38 1.02 "London"
"32" 132.2 564.77 0.65 "London"
"33" 146.73 552.82 0.57 "London"
"34" 138.04 636.52 0.2 "London"
"35" 141.21 715.49 0.54 "London"
"36" 137.58 502.51 0.69 "London"
"37" 146.35 597.9 1.49 "London"
"38" 143.14 579.01 1.03 "London"
"39" 149.06 553.22 1.18 "London"
"40" 167.28 678.46 0.31 "London"
"41" 141.81 561.95 1.08 "London"
"42" 149.45 489.59 0.33 "London"
"43" 117.63 462.74 0.87 "London"
"44" 126.72 401.49 -0.1 "London"
"45" 145.74 546.13 0.82 "London"
"46" 141.96 604.95 1.11 "London"
"47" 153.33 623.11 1.16 "London"
"48" 120.53 484.3 0.84 "London"
"49" 166.01 726.78 0.58 "London"
"50" 118.96 594.96 0.92 "London"
